"train/global_step","negotiarena-overseer-rlvr - train/rewards/rlvr_reward_fn/mean","negotiarena-overseer-rlvr - train/rewards/rlvr_reward_fn/mean__MIN","negotiarena-overseer-rlvr - train/rewards/rlvr_reward_fn/mean__MAX","negotiarena-overseer-rlvr - _step","negotiarena-overseer-rlvr - _step__MIN","negotiarena-overseer-rlvr - _step__MAX"
"5","-0.11500000655651092","-0.11500000655651092","-0.11500000655651092","55","55","55"
"10","-0.24000000953674316","-0.24000000953674316","-0.24000000953674316","111","111","111"
"15","-0.24000000953674316","-0.24000000953674316","-0.24000000953674316","167","167","167"
"20","-0.17750000953674316","-0.17750000953674316","-0.17750000953674316","223","223","223"
"25","0.1499999940395355","0.1499999940395355","0.1499999940395355","279","279","279"
"30","-0.12000000476837158","-0.12000000476837158","-0.12000000476837158","335","335","335"
"35","0.10999999195337296","0.10999999195337296","0.10999999195337296","391","391","391"
"40","-0.06750000715255737","-0.06750000715255737","-0.06750000715255737","447","447","447"
"45","-0.19250000715255738","-0.19250000715255738","-0.19250000715255738","503","503","503"
"50","-0.27500001192092893","-0.27500001192092893","-0.27500001192092893","559","559","559"
"55","-0.21000000834465027","-0.21000000834465027","-0.21000000834465027","615","615","615"
"60","-0.24000000953674316","-0.24000000953674316","-0.24000000953674316","671","671","671"
"65","-0.24000000953674316","-0.24000000953674316","-0.24000000953674316","727","727","727"
"70","-0.27000001072883606","-0.27000001072883606","-0.27000001072883606","783","783","783"
"75","-0.21000000834465027","-0.21000000834465027","-0.21000000834465027","839","839","839"
